"filename", "language", "JavaScript", "JSON", "PostCSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\programming\webApps\idgg\idgg\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1, 2
"d:\programming\webApps\idgg\idgg\package-lock.json", "JSON", 0, 20135, 0, 0, 0, 0, 1, 20136
"d:\programming\webApps\idgg\idgg\package.json", "JSON", 0, 46, 0, 0, 0, 0, 1, 47
"d:\programming\webApps\idgg\idgg\public\index.html", "HTML", 0, 0, 0, 0, 23, 23, 2, 48
"d:\programming\webApps\idgg\idgg\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"d:\programming\webApps\idgg\idgg\public\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 6
"d:\programming\webApps\idgg\idgg\src\App.css", "PostCSS", 0, 0, 3, 0, 0, 0, 0, 3
"d:\programming\webApps\idgg\idgg\src\App.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 15
"d:\programming\webApps\idgg\idgg\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 9
"d:\programming\webApps\idgg\idgg\src\components\NotFoundPage.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"d:\programming\webApps\idgg\idgg\src\components\home.js", "JavaScript", 28, 0, 0, 0, 0, 0, 5, 33
"d:\programming\webApps\idgg\idgg\src\components\matchParticipants.js", "JavaScript", 30, 0, 0, 0, 0, 1, 4, 35
"d:\programming\webApps\idgg\idgg\src\components\matchTimeAndQueueType.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"d:\programming\webApps\idgg\idgg\src\components\playerPage.js", "JavaScript", 130, 0, 0, 0, 0, 17, 20, 167
"d:\programming\webApps\idgg\idgg\src\components\rankedSoloAndFlex.js", "JavaScript", 223, 0, 0, 0, 0, 4, 23, 250
"d:\programming\webApps\idgg\idgg\src\components\summonerItems.js", "JavaScript", 89, 0, 0, 0, 0, 0, 3, 92
"d:\programming\webApps\idgg\idgg\src\components\summonerKDA.js", "JavaScript", 21, 0, 0, 0, 0, 0, 2, 23
"d:\programming\webApps\idgg\idgg\src\components\summonerKeystones.js", "JavaScript", 206, 0, 0, 0, 0, 0, 15, 221
"d:\programming\webApps\idgg\idgg\src\index.css", "PostCSS", 0, 0, 15, 0, 0, 0, 3, 18
"d:\programming\webApps\idgg\idgg\src\index.js", "JavaScript", 10, 0, 0, 0, 0, 3, 3, 16
"d:\programming\webApps\idgg\idgg\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"d:\programming\webApps\idgg\idgg\src\routes.js", "JavaScript", 16, 0, 0, 0, 0, 0, 2, 18
"d:\programming\webApps\idgg\idgg\src\setupProxy.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"d:\programming\webApps\idgg\idgg\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"d:\programming\webApps\idgg\idgg\src\styles.css", "PostCSS", 0, 0, 8, 0, 0, 1, 1, 10
"d:\programming\webApps\idgg\idgg\tailwind.config.js", "JavaScript", 36, 0, 0, 0, 0, 1, 2, 39
"d:\programming\webApps\idgg\package-lock.json", "JSON", 0, 1222, 0, 0, 0, 0, 1, 1223
"d:\programming\webApps\idgg\package.json", "JSON", 0, 12, 0, 0, 0, 0, 1, 13
"d:\programming\webApps\idgg\proxyServer.js", "JavaScript", 152, 0, 0, 0, 0, 21, 33, 206
"Total", "-", 1011, 21440, 26, 1, 23, 75, 137, 22713
